l1,l2,linf,times,prob_org,prob_adv,success,global_index
10.0,3.7416574954986572,2.0,0.022886117920279503,0.5673462152481079,0.007288322784006596,True,0
10.0,3.1622776985168457,1.0,0.022886117920279503,0.9999876022338867,0.350442111492157,True,1
10.0,3.1622776985168457,1.0,0.022886117920279503,0.9998373985290527,0.9999502897262573,False,2
10.0,3.464101552963257,2.0,0.022886117920279503,0.9999994039535522,0.9999959468841553,False,3
10.0,3.464101552963257,2.0,0.022886117920279503,1.0,0.9999998807907104,False,4
10.0,3.1622776985168457,1.0,0.022886117920279503,0.9607630968093872,0.010463481768965721,True,5
10.0,3.464101552963257,2.0,0.022886117920279503,0.999984622001648,0.9999403953552246,False,6
10.0,4.690415859222412,4.0,0.022886117920279503,0.9303016066551208,0.3557892441749573,True,7
10.0,3.1622776985168457,1.0,0.022886117920279503,0.9999282360076904,0.9928604960441589,False,8
10.0,3.1622776985168457,1.0,0.022886117920279503,0.9976698756217957,0.9981416463851929,False,9
10.0,3.1622776985168457,1.0,0.022886117920279503,0.9999943971633911,0.9999934434890747,False,10
10.0,3.464101552963257,2.0,0.022886117920279503,0.9999901056289673,0.9714639782905579,False,11
10.0,3.7416574954986572,2.0,0.022886117920279503,0.9999948740005493,0.9957887530326843,False,12
10.0,3.1622776985168457,1.0,0.022886117920279503,0.9999972581863403,0.9995237588882446,False,13
10.0,3.1622776985168457,1.0,0.022886117920279503,0.990789532661438,0.9862935543060303,False,14
10.0,3.1622776985168457,1.0,0.022886117920279503,0.9933415055274963,0.5992222428321838,False,15
10.0,4.0,3.0,0.022886117920279503,0.5853185653686523,0.022843996062874794,True,16
10.0,3.1622776985168457,1.0,0.022886117920279503,0.9970486760139465,0.9924606680870056,False,17
10.0,3.7416574954986572,2.0,0.022886117920279503,0.9992824196815491,0.28003066778182983,True,18
10.0,3.464101552963257,2.0,0.022886117920279503,0.9999285936355591,0.9998769760131836,False,19
10.0,4.0,2.0,0.022886117920279503,0.9996134638786316,0.9930114150047302,False,20
10.0,3.1622776985168457,1.0,0.022886117920279503,1.0,0.9999998807907104,False,21
10.0,3.464101552963257,2.0,0.022886117920279503,0.9995976090431213,0.9997171759605408,False,22
10.0,4.0,2.0,0.022886117920279503,0.9999996423721313,0.9935033917427063,False,23
10.0,3.1622776985168457,1.0,0.022886117920279503,0.9177066683769226,0.0018603294156491756,True,24
10.0,3.7416574954986572,2.0,0.022886117920279503,0.9088791012763977,0.025723114609718323,True,25
10.0,3.464101552963257,2.0,0.022886117920279503,0.999991774559021,0.9998090863227844,False,26
10.0,3.1622776985168457,1.0,0.022886117920279503,0.9038512110710144,0.32706305384635925,True,27
10.0,3.7416574954986572,2.0,0.022886117920279503,0.9421849250793457,0.01520205195993185,True,28
10.0,4.0,3.0,0.022886117920279503,0.9999722242355347,0.9985559582710266,False,29
10.0,3.464101552963257,2.0,0.022886117920279503,0.9999415874481201,0.9986097812652588,False,30
10.0,3.464101552963257,2.0,0.022886117920279503,0.9997637867927551,0.8456939458847046,False,31
